name,lat,lon,住所,URL
南大沢事務所,35.6124214818576,139.379489099544,東京都八王子市南大沢２丁目２７ フレスコ南大沢,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011852.html
八王子駅南口総合事務所,35.6548057686543,139.337526539815,東京都八王子市子安町４丁目７−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p015806.html
浅川事務所,35.6438645458494,139.276902539815,東京都八王子市高尾町１６５２−１,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011850.html
由木事務所,35.6272524141291,139.382836510979,東京都八王子市下柚木２丁目１０−６,https://www.city.hachioji.tokyo.jp/shisetsu/002/p011859.html
